stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0.56,0,0,3.38,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,0,2.59,0.37,0,0,0,0,0,0,0,0
3Month,0.21,0.52,0.52,4.89,0.21,0.52,2.08,4.78,0.73,0,2.39,0.42,1.46,0.94,1.46,0.21,0.21,176.93,0.42,0,0.1,0.21,0.62,1.35,0.62,1.35,1.56
22Month,0,0.14,0,0,0,0.14,0.27,2.6,0,0.14,0.41,0.14,0,0,0.55,0,0,5.74,0,0,0,0,0,0.27,0,0,0.27
