stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,2,2,0,4,0,1,0,0,0,0,0,0,2,4,1,38,0,0,13,220,0,6,0,0,0,0,0,0
72hpf,1.69,0.85,0,1.69,0.56,0.28,0,0,0,0,0,0,1.69,2.54,0.28,8.46,0.56,0,10.71,38.9,0.28,3.66,0.28,0,0.85,0,0.28,0
21Day,3.33,0.37,0,2.22,0,1.48,0.74,0,0,0,0.74,0,0.37,1.11,0.37,9.25,0,0.37,1.85,9.99,0.74,2.59,0.37,0,1.85,0.37,0,0
3Month,0,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0.42,0.1,0.1,0,0,0,0,0,0,0,2.08,0,0,0,0.31
22Month,0,0,0,0,0,0,0,0,0,0.96,0,0.14,0,0.14,0.14,0.27,0,0.14,0,0,0,0,0.14,0,0,0,0,0
