stage,Granulocyte,Hepatocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,0,0,0,3.1,0.28,0.56
21Day,0,0,0,0.37,0,0
3Month,0.21,0,0.1,0.1,0,0
22Month,0,0.41,0,0,0,0
