stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,9,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0.85,0.28,0,0.28,0,0,0,0,0,1.41,0.28,0.56,0.28,0,0,1.41,1.41,0,0.28,0,0,0,0.56,0
21Day,0.37,0.37,0,8.51,0.74,0,0,0,1.48,0.74,0.37,0.74,4.07,0.37,1.85,0,0.74,0,1.85,2.22,0,0.37,0,0,0.37,0.37,1.11
3Month,0,0.1,0.1,4.06,0,0.21,0.1,0,1.87,0,0.94,0.21,1.04,0.31,0.42,0,0,0.21,0.1,0.1,0.1,0,0.1,0.83,0,0,0.1
22Month,0,0.68,0,1.23,0,0.14,0.27,0.68,4.78,0,0.41,0,0.27,0,0.27,0,0.14,0,0.14,0,0,0,0,0,0,0,0.14
