stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.85,0,0,0
21Day,0,0,0,0,0.74,0,0,0,0,0.37,0,0,0
3Month,0.1,0.1,0.73,4.16,0.1,0.1,0.21,1.25,0.1,0,0.42,0.21,1.04
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0,0
