stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,1,21,0,0,0,0,0,0,0,2,0,0,0,0,3,4,3,11,0,0,0,1,7,949,1,0,0,0,0,0,0,2,0,0,0
72hpf,1.41,0,1.97,0.56,2.54,0,0.28,0,0,0,0,0,0,0.28,0,0.28,2.82,0.28,14.66,0,0.28,0.28,0,23.96,105.41,0,0,5.92,0,0,44.25,0,4.51,0,0,0
21Day,0.37,0,3.33,0.37,1.11,0,0.37,0,0,0.37,0,0.37,0,0.37,0,0,1.11,1.11,11.47,0,0,0.37,0,4.44,14.06,0,0,0.74,1.11,0,14.43,0.37,1.48,0,0,2.22
3Month,0,0.73,2.91,0.1,0,0.21,0.1,0.21,0.42,0,0,2.81,0.52,0.1,0.83,0.21,0.42,0.31,3.85,0.21,0,0.21,0.1,0.83,1.98,0.31,0.21,0,0.1,1.25,1.66,0,2.91,0.21,6.76,1.25
22Month,0,0.96,2.32,0.14,0,0,0.14,0.14,0.96,0.27,0,7.93,0.14,0,0.82,0.14,0.27,0.68,5.88,0,0,0.14,0,0.27,1.5,0,0.14,0,0,1.64,2.46,0,1.78,0,0,1.64
