stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,17,44,1,0,0,0,0,0,0,0,4,0,0,0
72hpf,9.86,6.2,0,1.69,0.56,3.38,0.28,0,0,0,0,0,0.28,0,0.56,4.23,5.92,22.55,0,0.28,1.41,626.55,30.72,0.28,5.92,39.46,0.28,0,39.74,1.97,1.13,2.54,0,0,0
21Day,9.25,4.07,0.37,5.92,0.37,9.25,1.48,0,0.74,0,0.74,0,4.44,0.37,0.37,2.96,11.1,32.56,0,0,7.4,332.25,13.32,0.37,12.21,57.72,9.99,0.37,14.8,1.11,4.07,0.74,0.74,0,0.74
3Month,0,0.52,0.21,1.04,0,0,0,0.42,0,0,1.98,0.52,0.31,0.52,0.1,0,1.66,1.98,0.21,0,0.73,0.1,0.1,0.1,2.5,0.1,0.1,2.29,0.83,0,0,0,3.85,0.42,0.21
22Month,0,0.14,0,0.27,0,0,0,0,0.41,0.14,4.92,0,0,0.14,0,0,1.64,0.68,0,0,0.41,0,0,0,0.27,0,0,0.82,2.32,0,0,0,0.41,0,0
