stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,2,0,0,0
72hpf,0.56,0,0,0,0.56,0,0,0,0
21Day,0,0,0,0,0,0.37,0.37,1.11,0
3Month,0,0.1,0.31,0.1,0,0,0,0.31,0.42
22Month,0,0,0.14,0,0,0,0,0.68,0
