stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,2,0,0,1,0,0,0,5,0,0,0,0,1,105,0,6,0,0,107,14,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,1.13,0.28,0,6.2,1.13,0,0,0,0,0,0,0,0,0,0,0.85,195.04,0.28,1.13,0.28,0.28,27.06,4.23,0,0,1.41,0,0,1.41,0.28,0,0.56,0,0,0
21Day,1.48,0,0,66.23,2.59,0,0.37,0.37,0,0,0,1.11,0,0.74,0.37,1.48,162.42,0.37,2.96,0,0.37,9.62,2.22,0,0,1.11,2.22,0,0.74,0.37,1.11,0,0,0,0.37
3Month,0,0.21,0.31,51.8,0,0.1,0,0.21,0.52,0,0,32.56,0.31,0,1.56,5.1,1.87,0.83,0.31,0,0.1,3.43,0.1,0.1,1.35,0.1,0.62,1.04,0,0,0,0,0.31,0.21,0.52
22Month,0,0,0,3.55,0,0,0,0,0.41,0.14,0,8.47,0,0.27,0.14,0.55,0.14,0.41,0,0.14,0,1.09,0,0,0.14,0,0.55,0.27,0,0,0,0.14,0,0,0
