stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,1,10,660,0,0,0,1,0,0,0,0,0,1,0
72hpf,7.33,1.97,0,3.1,0.56,5.07,0.28,0,0,0,0.28,0,0,0,2.25,9.02,1.13,7.89,0.28,0,0,624.29,259.02,0.28,9.58,0,11.56,0,0.28,59.19,0,0.28,0.85,0
21Day,1.85,0,0.74,5.55,0,5.55,0.74,0,0.74,0,0,0.37,1.11,0.37,1.11,2.59,2.22,6.29,0,0.74,0,163.16,94.35,0,3.33,0,2.22,5.92,0,21.46,1.85,1.85,0,0.74
3Month,0,0,0,0.42,0,0,0,0.21,0.1,0,1.46,0.21,0,0.31,0.1,0,0.1,0.31,0,0.1,0.42,0.31,0.31,0.1,0.42,0,0,0.21,0.1,0.21,0,0,0,0.21
22Month,0,0.14,0.14,0.82,0,0,0,0.14,0.55,0.14,6.97,0.68,0,0.82,0,0.27,0.55,0.27,0,0.14,0.14,0.14,0.41,0,1.5,0.14,0,0,0.14,0.14,0,0,0,0.14
