stage,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Pancreatic_cell,T_cell
24hpf,0,0,0,0,7,0,0
21Day,0,0.37,1.11,0,0,0,0.37
3Month,0,0,0,0.1,0,0.1,0
22Month,0.27,0,0,0,0,0,0
