stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,1.41,0,0.28,0,0,0,0,1.69,0,1.13,0.28,40.59,5.64,0,0.85,0,0,2.25,0
21Day,0.74,0,0.74,0.37,0.37,0,0.37,0.37,0.37,2.22,0,7.03,1.48,0,1.11,0.37,0,2.96,0
3Month,0,0.21,0.21,0,0,0,0,0.21,0,0.31,0,0,0,0.1,0,0,0.21,0,0
22Month,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.14,0,0,0,0,0.27
