stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.86,0.28,0,0.85,0.85,0.85,0,0,0,0,0,0,0,0,0.28,1.69,0,0.56,0,0,0,0,44.25,5.64,0,0,0,2.54,0.56,0.28,0.85,1.13,0,0.28,0,0,0
21Day,4.81,0,0.74,1.48,0.74,1.48,0,0.37,0,0,0,0,0,0.37,0.37,1.85,0,1.11,0,0,0,0,34.78,0.74,0.37,0.37,0,0.37,0.37,0.37,1.85,1.11,4.81,1.11,0,0,0
3Month,0.31,2.5,1.14,2.91,0.42,0,0.21,0,1.04,0.42,0,2.08,0.83,4.68,1.46,0.73,0.1,0.73,0.1,0,0.42,0.21,1.35,0.1,2.08,0.52,0,0,0.31,23.82,0.21,0.1,0,0.21,0.1,2.18,0.42
22Month,0.41,3.83,1.23,1.23,0.27,0,0,0,1.37,0.14,0.27,13.66,0.14,4.24,0.27,0.27,0.27,1.5,0.14,1.23,0.27,0.14,0.82,0.14,2.46,0.68,0.41,0,0,10.93,1.09,1.64,0,0.14,0,0,0
