stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,23,0,6,1,0,1,0,0,0,0,0,0,2,5,129,0,0,0,5,56,0,0,115,0,0,0,0,0,0,0,0,0
72hpf,17.47,5.36,0,4.23,2.25,1.97,0.28,0.28,0,0,0,0,1.13,11.56,0.85,105.69,0,0.28,2.25,20.29,12.97,0,0.28,212.8,0,0,2.82,0,0.28,5.07,0,0,0
21Day,33.67,0.74,0,4.07,0.37,6.66,0.37,0,0,0.74,0,0.74,0.37,1.11,0.74,97.68,0,0.37,7.4,5.18,4.81,0.37,0,190.54,6.29,0.37,0.37,0.37,0.74,1.48,0,0,0.37
3Month,0.1,0,0.1,0.62,0,0,0,0.31,0,1.35,0.1,0.62,0.31,0.21,0.42,5.82,0.1,0,1.77,0.52,0.1,0,0,0,0.21,8.22,0.31,0,0,1.77,0.42,9.05,0.1
22Month,0,0,0,0.41,0,0,0,0,0.27,2.6,0,0.55,0.14,0,0,0.41,0,0.27,0.55,0.14,0,0,0,0,0.14,4.78,0,0,0,0,0,0,0.14
