stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,33,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
72hpf,42.28,0,0.28,0,0,0.28,0.56,0.28,0,0,9.02,0.56,0,0.28,0,0,0
21Day,68.08,0.37,0.74,0.37,0.37,0,0.37,1.11,0.37,0.37,0.74,0.37,0.37,0,0.37,0.74,0.37
