stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,5,24,1,0,0,0,0,0,0,0
72hpf,0.56,0.28,0.28,0,0.56,0,0,0,0,0,0,0,0.56,0,10.99,0,0.28,1.97,3.38,9.3,0,0,1.13,0.56,0,0,0
21Day,1.48,0.37,0,0,1.48,0,0,0,0,0.37,0,0.37,1.11,0,17.76,0,2.59,0.74,1.85,8.88,0.74,0,1.11,0.74,0,0,0
3Month,0,0.52,0.31,0,0,0.1,0.31,0.21,0.1,0,0,0,0.1,0.21,5.3,1.77,0,0,0.1,0.31,0,0.52,0.1,0,0.1,0.1,0.1
22Month,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.27,0,0,0,0,0.14,0,0.27,0,0,0,0,0
