stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,1,1,0,0,0,0,1,2,3,1,3,283,0,0,0,0,0,0
72hpf,5.07,0.28,0.28,0.28,0,0,0,0.28,0.28,0.85,11.56,30.44,0.56,0,0,9.02,0,0
21Day,2.22,0,0,0,0.37,0.37,0,0.37,0,1.11,1.48,13.32,0,0.74,0,11.1,0.37,0
3Month,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.42,0,0,0.21
22Month,0,0,0,0,0.41,0.14,0,0,0.14,0,0,0,0,0,0.27,0,0,0
