stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,0,1
72hpf,0.28,0,0,0,0,0,0,0.85,0
22Month,0,0.14,0.14,0.41,0.14,0.14,0.14,0,0
