stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,11,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0
72hpf,0,1.41,0,0,0,0,0,0,0,0.28,0,0.28,2.82,0.28,0,0.28,0.28,0,0,0,0,0,0
21Day,0.37,2.59,0.37,0,0,0,0,0,0,1.85,0,0.74,1.48,0.74,0.37,0.74,0,0.37,0.37,0,0,0,0.74
3Month,0.1,4.78,0,0.1,0.1,0.94,0,0.83,1.56,0,0.52,0.73,1.66,1.04,0.1,0.1,0.1,0.31,0.21,0,0.1,0.1,2.91
22Month,0,2.05,0,0,0.14,0.82,0.14,1.37,0,0.14,0.27,0.14,0.27,0.27,0,0,0,0.14,0,0.14,0,0,0.14
