stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,7,0,0,0,0,0,0,0,0,0,1,0,3,7,0,0,0,1,4,74,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.56,1.41,0.85,0.85,0,0,0,0,0,0,0,0.85,1.97,0,5.92,0,0.28,0,0,53.27,22.83,0,0,0,3.66,0,0,3.1,0,0.28,0.28,0,0,0
21Day,1.85,0.37,4.81,1.11,0.37,0.74,0,0,0,0,1.48,0,0.37,0,0.74,7.77,0,0,0.74,0,20.35,6.29,0,0,0,2.59,0.37,0,1.11,1.11,0.74,0.74,0,0,0
3Month,0,0.31,3.95,0,0,0.1,0.83,0.62,3.02,0.42,0,0.62,0.31,1.35,0.52,2.39,0.1,0,0.21,0.1,0.31,0,0.1,0.1,0,0,0.1,3.43,0.42,0,0,0,0.52,68.44,1.04
22Month,0,0.68,0.82,0,0,0,0,0.27,4.37,0,0,0.41,0,0.27,0.14,1.09,0.14,0.27,0,0,0,0,0,0,0.14,0,0,0.68,0.14,0.14,0,0,0,0.27,0.27
