stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0,0,0,0.56,0,0,0,0,0
21Day,1.48,0,0,2.22,0,0,0,0,0,0,4.44,0.37,0,1.48,0.74,0.74,0,0,0.37,0,1.48,0.74,0,0,0,1.11,0.37,0,0,0,1.48
3Month,0,0.42,0.31,4.06,0.21,0.52,1.87,0,3.02,1.46,5.72,1.35,0.1,1.56,3.12,1.87,0.21,0,0.31,0.21,0,0.21,0.21,0.42,0,0,0.62,1.46,0.42,0.73,40.15
22Month,0.14,1.23,0,1.78,0.27,0,3.14,0.27,9.57,0.41,1.37,1.23,0.14,0.14,1.09,2.46,0,0.41,0,0,0,0,0,0,0.14,0.14,0.27,0,0,0,26.92
