stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,19,1,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,23.39,0,0.56,0,0,0.28,0.28,0,0,0.28,0.28,0.28,0.28,0,0
21Day,6.29,0,0,1.11,0,0,0,0,1.11,0.37,0,0,0,0.37,0
3Month,0.21,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
22Month,4.78,0.14,0,0.14,0.55,0.14,0,0,0,0,0,0,0,0,0.14
