stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,0.85,0,0,0.28,0,0,0,0,0,0,0,0,1.41,4.79,0,0.56,0,0,0,1.97,0.85,0,0,0,0.56,0.56,0,0,0.56,0,0,0,0
21Day,1.48,0.37,0.37,14.43,0,0.37,0.74,0.37,0,0,0,1.48,0,0.37,7.03,0.74,4.44,1.11,1.85,0,0.37,0.74,2.96,1.85,0,0,0,2.22,0.74,0.74,0.74,1.48,4.07,0,0,0
3Month,0,0,0.1,1.35,0,0,0,0.1,0.1,0,0,1.66,0.21,0,0.52,0.1,0.52,0.52,0.42,0.31,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0.31,0.31
22Month,0,0.27,0.14,3.01,0.14,0,0,0,0.27,0.14,0,5.47,0.14,0,1.37,0.27,0.82,1.09,1.37,0,0.55,0.27,0.27,0,0.14,0.14,0.27,0,0,0.68,0.27,3.55,0,0.14,0,0.55
