stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0.28,0,0.28,0.28,0,0,0
21Day,0,0.37,0,0,1.11,0,0,0.37,0,0.37,0.74,2.22,0.74,0,0.37,0,0,0,0.37,0,0,0
3Month,0,0.21,1.46,0.1,1.77,0,0.62,2.39,0.73,0,0.1,1.25,0.21,0,0,0,0.1,0,0.1,0.1,0.1,1.04
22Month,0.27,0,1.37,0.27,5.06,0.27,2.87,1.5,1.09,0,0,3.69,0.27,0.14,0.27,0,0,0.14,0,0,0.14,0.14
