stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.85,0,0,0,0,0,0,0,0,0,0,0,3.66,0.28,0,0,0,0,0,2.54,0,0.28,0,0,1.13,0,0,0,0,0,0
21Day,0.74,0,0.37,2.96,0.37,0,0,0,0.37,0,0,0.37,1.48,0.37,0,7.4,2.22,2.22,0,0,0,0,2.59,0.74,0,0,0,0.37,0,0,0.37,0,0,1.11
3Month,0,0.31,1.14,12.69,0,0.21,0,2.91,2.6,0,8.84,3.12,0.21,11.96,0.83,1.66,5.62,0.94,0.52,0,0.94,1.14,0.31,0.1,0.83,0,0,0,0.42,2.6,0,0,0.21,3.95
22Month,0,1.23,0.68,5.47,0,0.14,0.14,1.37,3.28,0.55,13.94,1.5,0.82,13.12,0.27,0.41,5.74,2.46,0.27,0.27,0.55,0,0.55,0.14,0.68,0.27,0.14,0,0,1.37,0.14,0.14,0,0.96
