stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Oligodendrocyte,Osteoblast,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0
21Day,0.37,0.37,0,0.37,0,2.96,0,0,0,0.37,0,0,0,1.85
3Month,0,0.1,0.1,0,0.31,0.1,0.1,0.1,0.21,0.1,0.1,0,0.1,3.54
22Month,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.14
