stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,2,9,1,0,0,0,1,1,0,0,0,0
72hpf,0.28,2.54,0,0,0,0,0,0.28,29.88,0,0,0,1.41,0.56,0,0.28,0,0,0
21Day,0,5.92,0,0,0.37,0.37,0,0.37,5.55,0.37,0,0,0.37,0.37,0,0,0,0,0
3Month,0,9.15,0.1,0.1,0.21,0,0.21,0.21,0.42,0.42,0.1,0.31,0.1,0,0,0,0.1,0.21,0.21
