stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,43,0,1,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,3.38,0,0,0,0,0,0,0,0,0,38.61,0,0.56,0,3.66,1.13,0,0,0.85,0,0,0.28,0,0,0
21Day,0,0,0,3.7,0,0,0.37,0,0,0,0,0,0,11.47,1.11,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0
3Month,0.1,0.1,0.94,2.29,0,0,7.39,0,0,1.14,0.21,3.02,0.21,0,0.1,0.31,1.77,0,0,0,0,0,0.31,0.1,0,0,0.1,0.21
22Month,0,0.14,3.55,4.37,0.14,0.14,17.08,0.96,0.55,4.65,0.27,34.44,0,0,0.82,1.09,7.24,0.14,0,1.78,0.27,0.14,0.14,0,0.14,0,0,0.41
