stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,1,7,0,0,0,0,0,0,0,0,3,12,0,3,24,0,4,0,0,0,0,0,0
72hpf,0.56,0,0.28,1.13,0,0,0,0,0,0,0.85,0,6.48,0,9.02,7.05,0,6.48,0,0,0.56,0,0,0
21Day,0,0,0.74,0,0,0,0,0.37,0.37,0,0.74,0,7.03,1.48,3.7,1.48,0,2.22,1.11,0,0,0.37,0,0
3Month,0.1,0.21,1.04,0.1,0,1.14,0.31,0,0.1,0.1,0.31,0,0.73,0.1,0,0,0.1,0,0.1,0.62,0,0,1.87,2.81
22Month,0,0,0.55,0,0.27,1.37,0.27,0.14,0.14,0,0,0,0.68,0,0,0,0,0,0,0.27,0,0,0,0
