stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,1.97,0.28,1.69,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0.37,3.33,0,1.11,22.2,0.74,0,0,0.74,0,0.37,0.74,0,0.37,0
3Month,0,0.31,0.83,0,1.35,0.31,1.04,3.95,0.1,0.21,21.64,0.1,0.1,0.1,0,0,0,0,0.1,0,0.1
22Month,0.14,0.14,0,0,0.68,0,0.41,2.6,0,0,0.27,0,0,0,0,0.14,0,0,0,0,0
