stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,1,3,0,15,1
72hpf,0.56,0,0,0,0.85,1.13,0
21Day,0,0.74,0,0.37,0,0.37,0
