stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,0,0.28,0.56,0,4.23,0,0,0.28,0,0,0
21Day,0,0,0.74,0.37,0,0,0,0,0.37,0.74,1.11,0,1.48,0,4.07,0,0,0,0,0.37,0.37,0,4.07,1.48,0,0,0,0,0
3Month,0,0.1,0.1,3.22,0,0.42,0.73,0,45.46,0.73,12.07,0.31,1.14,0.31,1.46,0.21,0.21,0.1,0.21,0.1,0,0.73,0.42,1.25,1.35,0,0.42,2.08,0.21
22Month,0,0.27,0.14,1.78,0.14,0.41,0.55,0.27,48.78,0.82,12.44,0.14,0.14,0.68,1.78,0,1.91,0.27,0,0,0,0.41,0,0.55,1.09,0.14,0,0,0.27
