stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0.28,0,0
21Day,0,0,0.74,0.37,0,0,0,0,0,0,0,0,0.37,7.77,0.74,0.37,0,0,0.37,0
3Month,0,0.1,0.1,0,0.1,0.21,0,0,0.1,0.1,0,0,0,0,0,0.21,0.31,0,0,0
22Month,0.27,0.14,0,0,0,2.32,0.14,0.14,0.27,0.14,0.41,0.14,0,0,0,0,0,0,0,0.14
