stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,19,2,0,5,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.86,2.25,0,1.41,0.56,0,0.28,0,0,0,0,0.28,0,0,7.05,0,8.46,0,0.28,0,0,6.2,3.38,0.85,0,0,1.97,0,0,1.13,0,0,0,0
21Day,12.21,2.22,0.37,5.55,0.37,0.37,0.74,0,0,0,0,1.48,0,0,2.96,0,17.39,0,0,1.11,0,4.44,9.25,1.85,0,0,3.33,0.74,0,1.11,0,0,0,0
3Month,0.83,7.8,0,2.08,0,0,0,0.1,0.1,1.66,0.21,0.21,0.31,0.21,0.52,0,1.25,0.52,0,0.52,0.31,0,0,2.6,0,0,0.1,0,0.21,0,0.62,0.21,0.52,0.42
22Month,0.41,7.52,0,1.09,0,0,0,0.41,1.5,98.11,0.82,0.55,1.09,0,0.27,0.96,1.37,0.41,1.91,0.41,0.14,0.41,0.27,4.65,0.27,0.14,0,0.27,0.27,0.14,0.27,0,0,0.55
