stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,2.25,1.41,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,1.11,0,0.37,0,0,0
3Month,0,0.31,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,0.1,0.1,0.21
22Month,0.14,0.27,0.14,0.14,0.14,2.32,0.14,0.41,0.14,0,0.14,0.14,0.14,0,0,0,0.14,0.41,0,0
