stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Osteoblast,Primordial_germ_cell,Retinal_cell
21Day,0,0,0.37,0,0.37,0.37,0,0.37
3Month,0.1,0,0,0.1,0,0,0.1,0
22Month,0,1.09,0,0,0,0,0,0
