stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,14.66,0,0,1.69,0,1.13,1.69,0,0,5.07,0,0,0,0.28,0,0,0,0
21Day,1.11,0,0,2.96,0,1.11,0,0,0,0,0,0,0.37,0,0.74,0,0.37,6.29,0.37,46.25,0,0,44.4,0,2.22,1.48,0,0,4.07,1.48,0,0,0,0.37,0,0,0
3Month,0.31,1.14,0.42,18.52,0.1,0,0.52,0.1,0.31,1.35,4.89,0,8.53,4.16,0.31,5.72,1.04,2.81,2.81,215,17.16,0,5.3,0.73,0.94,0.31,1.04,0,0.52,2.18,3.12,0.42,0,0,1.56,1.35,2.29
22Month,0,0.14,0,1.64,0,0,0.55,0,0,0.14,1.23,0.68,6.29,0.27,0,0.41,0,0.14,1.09,62.04,3.01,0.55,1.91,0,0.14,0.14,0,0.14,0,0,0.41,0.27,0,0,0.14,0,0.27
