stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.85,0,0,0,0,25.37,0.85,0.28,0,0.28,0,0,1.41,0,0,0,0,0
21Day,0.37,0,0,2.96,0.37,0,0.74,0,0,0,0,0,0,0.74,0.37,0,0.37,0.37,7.77,0,0,0,0,22.2,3.33,0.74,2.22,1.11,1.11,0,7.03,0,0.37,0,0,0
3Month,0.52,0.21,0.1,4.99,0,0.31,0,0,0.52,4.16,0.21,3.22,0.83,0.83,0.83,0.21,17.58,3.12,15.81,60.33,0,0.62,0.1,1.35,0.52,1.66,8.53,0.31,0.21,0.62,1.14,0.1,0.83,0.31,0.31,0.52
22Month,0,0.96,0.27,4.92,0,0.41,0.55,0.27,0,1.78,0.68,8.47,0.96,7.93,1.09,0,7.52,4.65,43.18,12.16,0.55,0.55,0,3.69,1.5,1.37,7.79,0.27,0.27,0.55,2.73,0.14,0.55,0.41,0,1.37
