stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0
72hpf,1.13,0.85,0,0.56,0.56,0,0,0,0,0.28,0,0,0,0,0,0.56,0.28,38.33,0.28,0.28,0,4.79,2.54,0,0,59.75,0,0,0.85,0,0,4.51,0
21Day,1.48,0,0.37,1.11,0.74,0,0,0,0.37,0,0,0,0.74,0.37,0.37,0.74,0.74,65.49,0,16.28,0,2.96,1.85,0,0.37,28.49,1.85,0,0.74,0.37,0.37,1.85,0.37
3Month,0,1.46,0,0.42,0,0,0,0,0.52,0,0.52,0.21,0,0.21,0,0.21,0.31,7.07,0,8.84,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.21
22Month,0,0.96,0,0.27,0,0.27,0.14,0.14,0.55,0,1.09,0,0,0,0,0.27,0.41,7.38,0.14,2.73,0,0,0,0,0,0,0,0,0,0,0,0.14,0.14
