stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0.56,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0.28,3.1,0,0.56,0,17.19,2.54,0.28,0,3.38,0,0,0.56,0,0,0,0,0
21Day,0.37,0.37,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,5.18,0,1.11,0,3.33,1.48,0.37,0,1.48,0.74,0,0,0,0,0,0,0
3Month,0,1.77,0,4.68,0.21,0,0,0.1,1.14,0.1,0,0,0.73,0,0.31,0.83,1.66,0.21,2.08,0.42,0.21,0.21,0.42,0.21,0.42,0.31,0.31,0.1,1.56,0,0,0,1.46,1.35,0.1
22Month,0,1.64,0.14,1.23,0,0.14,0.14,0,0,0.14,0.41,0,1.78,0.14,0.27,0.14,0.41,0,0.27,0,0,0,0,0.14,0.27,0.14,0.14,0,0.41,0.14,0.27,0,0.14,0,0
