stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,1,0,1,0,0,0
72hpf,0,0,0.56,0,0,0.28,1.69,0.85,0,0,0.28
21Day,0.37,0,0.37,0.37,0,0.37,1.48,1.11,0.37,0,0
3Month,0,0.1,0,0,0.1,0,0,0,0,0.1,0
