stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,6,3,13,0,0,1,0,0,0,1,0,2,5,11,14,0,0,0,31,205,1,0,2,0,0,0,0,0,0,0
72hpf,9.3,1.97,3.95,0.56,4.51,0,0,0,0,0.28,0,2.54,8.74,1.97,18.04,0,1.13,0.28,753.66,42.84,0,1.41,15.78,0,0,10.15,0,0.85,1.13,0
21Day,5.55,0.37,5.18,1.11,4.44,0.74,1.11,0.37,0,1.48,2.22,0.37,2.96,1.11,26.27,0,2.59,0,258.25,19.61,0.74,0.37,8.14,8.88,0.37,2.59,1.48,4.07,0.37,1.11
3Month,0,0.1,0.52,0,0,0,0,0.73,0.1,0,0.21,0.1,0.1,0.21,0.52,0.1,0,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0.21
22Month,0,0.27,0,0,0,0.14,0.14,2.73,0,0,0.27,0,0.14,0.14,0.14,0,0.27,0,0.41,0,0.14,0.14,0,0,0,0,0,0,0,0.14
