stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,146,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
72hpf,87.65,2.54,0,0.85,0.56,0.56,0,0,0,0,0,0,0,0,1.13,1.69,0.28,2.54,1.13,0,0,3.1,2.54,0,0,1.41,0,0,0,0,0.56,0,0
21Day,101.01,0.74,0,2.96,2.22,2.22,0.74,0,0,0,0.37,0,0.37,0.37,7.4,1.11,0.37,2.22,0,0.74,0,3.33,1.48,0,0,1.48,3.33,0.37,0.37,1.11,0.37,0,0
3Month,1.46,1.14,0.1,2.08,0.31,0,0,0.21,0.1,0,0.62,0.31,0,0.21,0.83,0.1,0.21,0.52,0.1,0.21,0.31,0,0,0.21,0,0,0.42,6.55,0,0,0.1,0.42,0.1
22Month,0.82,1.37,0,2.05,1.09,0,0,0,0.68,1.37,9.02,0.27,0.14,0.96,0.82,0.68,1.37,1.37,0.27,0.41,0,0,0.14,1.23,0.14,0,0.14,5.6,0,0,0.14,0,0.14
