stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,2.54,0,0,1.69,1.13,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0,1.48,1.11,0
22Month,0.14,0.27,0.68,2.19,0.14,0.68,0.14,0.14,0.14,0.27,0.27,0.68,0,0.14
