stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0.37,0,5.18,0,0.74,0.37,0,0.37,0,0,0,0.37,0,0,0,0,0.74,0,0,0.37,0,0,0,0,0,0
3Month,0.21,0.21,0.42,2.5,0,0.1,76.87,0.62,2.18,1.98,0.21,6.35,0.21,1.04,0.73,1.98,0.21,0,1.04,0.31,0,0.62,0.1,0.21,0.42,0.73,0.21,0.1,0.94,1.04
22Month,0,0,0,0.82,0,0.14,31.43,0.82,2.73,0,0,3.96,0.27,0,0.41,0.41,0,0.27,1.64,0,0.14,0,0,0.14,0,0.14,0,0,0,0.14
