stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0.28,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0.21,0.1,0.73,2.91,0.1,0,0.1,0.21,0.42,0.31,0.1,0.1,0,0.21
22Month,0,0,0,0,0.14,0.41,0,0,0.14,0,0,0,0,0,0,0
