stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,3.7,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0.62,0.1,0.1,0,1.04,0.21,0.21,0.1,0.21,0.21,0.1,0,0,0,0,0.1,0,0,0.1,0.73,0,0.1,0.21,0.31
22Month,0.27,0.14,0,0,0.41,8.47,0,0.55,0.14,0.14,0.41,0,0.41,0,0,0,0,0.27,0.14,0,0,0.14,0,0,0.14
