stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.28,0,0.28,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,0,0,0,1.11,0,0,0,0,0,0
3Month,0,0.42,0.1,0.1,0.73,0.1,0.1,0.1,0.31,0,0,0.1,0,0,0.21,0,0.1,1.98,0.21
22Month,0.14,0,0,0.27,0,0,0.27,0,0.27,0.27,0.14,0,0,0,0,0,0,0.96,0
