stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1.41,0,0,2.25,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,4.07,0,0,0.74,0,0,0,0,0,0,0
3Month,0.1,0.1,0.73,0.1,0,0.1,0.73,0,1.46,0.94,0.1,0.62,0.31,21.95,0.1,0.21,0,0,0,0.21,0.1,0,0.31,0.73
22Month,0,0.27,0.68,0,0,0.14,0.68,0.14,3.14,0.27,0,0.55,0,9.57,0.14,0.14,0,0.27,0.14,0,0,0.14,0,0.27
