stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,1.13,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0.37,0,1.11,0.74,0,1.11,0,0,0.37,0.37,0,0.37,0,0,0,0.74,2.22,0,0,0.37,0,0.37,0.74,0.37,0.37,0,0.37,0,0,0,0,0,0
3Month,0,1.25,0,5.41,0,0.31,0.1,2.7,0.73,0.21,52.84,0.83,0.42,5.62,0.42,0.94,2.81,1.46,0.31,0,0.83,1.04,0.42,0,0.42,0.1,0,0.73,2.7,0,0,0.73,1.87,0.62
22Month,0,5.06,0.27,2.46,0,0.41,0.41,0.41,1.23,4.51,202.65,0.82,0.68,4.51,0.14,0.82,2.05,3.96,0,2.05,0.41,0,0.41,0,0.55,0.41,0.14,0.55,3.69,0.27,0.14,0.27,0,0.82
