stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,2.54,2.82,0.28,0,0,0.85,0,0
21Day,0,0,0,0,0.37,0.37,0,0,0,0.37,0,0,0,0,0.74,1.85,0,0.74,0,0,0,0
3Month,0.1,0,0.1,0.94,0,0,0.1,0,0.62,0.42,0.42,0.31,0.1,0.1,0.1,0.1,0.1,0,1.56,0,15.5,0.21
22Month,0,0,0.14,0.27,0,0,0.14,0.27,2.46,0,0,0,0,0,0,0,0,0,0.41,0.14,0,0
