stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,13,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.85,0,0,0.28,0.28,0.56,0,0,0,0,0,0
21Day,0.37,0,0.37,0.37,0,0,0,0,0,0,0,0,0.37,1.48,0,0,0.37,0.37,1.11,0,0,0,0,0,0.37
3Month,0,0.21,0.1,1.35,0.1,0.1,0.21,1.98,0.21,0.42,0.1,0.42,0.1,0.42,0,0.1,0.1,0,0,0.21,3.43,0,0.21,12.17,0.21
22Month,0,0.14,0,0.41,0,0.14,0,4.24,0,0,0,0,0,0.68,0.14,0,0,0,0,0,1.09,0.14,0,0,0
