stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0.28,0,2.82,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,4.07,0,0.37,0,0,0,0,0,2.22,1.11,0,2.59,1.48,0.37,0,0,0.74,0,1.11,0,0,0,0,0,0,0.37,0,0,2.59
3Month,0.21,0.42,0.94,7.59,0.42,0,3.64,0.73,0.1,3.74,1.04,0,35.37,0.31,0.83,1.35,2.18,0.62,0,0.62,1.46,0.1,0,0.21,0.21,0,0.21,0.83,0,0.21,0.1,2.18
22Month,0,1.37,2.05,5.6,0.14,0,5.74,3.42,0.55,5.33,1.5,1.5,28.83,0.55,0.68,5.6,1.91,0.14,0.41,1.64,0,0,0,0.55,0.41,0.14,0,0.14,0,0.14,0,5.6
