stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
72hpf,0.28,0,1.13,0,0,0,0,0,20.86,0,0,0.28,0.28,0.85,0
21Day,0,0,5.18,0.37,0,0,0,0,7.4,0.37,0.37,0,0,0.37,0
3Month,0,0,1.04,0,0.21,0.1,0.31,0.1,0.1,0.1,0,0,0,0,0.1
22Month,0,0.14,0.27,0,0,0.41,0,0,0,0.27,0,0,0,0,0.14
