stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.56,0,0.28,0,0.56,0,0,0,0,0,0,0,0.56,1.97,0.56,0.85,0,0,143.18,7.05,0.28,1.13,2.25,0.28,0,1.13,0,0.28,0,0,0
21Day,1.48,0,0.37,2.22,0.37,2.96,0,0,0,0,0,1.11,0.37,0,1.48,0.37,2.96,0.37,0,66.23,2.22,0.37,2.96,0.37,1.48,0.74,1.48,2.59,0.74,0,0,0
3Month,0,0,0.1,1.66,0,0,0.1,0.21,0,0.94,0.21,0,0.42,0,0.42,0.1,0.31,0,0.31,0.1,0,0.1,0.52,0,0.1,1.14,0,0,0,0.1,1.14,0.1
22Month,0.27,0.14,0,0.14,0,0,0,0.14,0.27,2.46,0,0,0.14,0,0,0.27,0.55,0,0,0,0,0.27,0,0,0.14,0,0,0,0,0,0,0.14
