stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0.28,0,4.79,3.1,0,0,0,0.28,0,0,0.56,0,0,0,0,0,0
21Day,0,0.37,0.37,0.37,1.11,0,0,0,0,0,6.29,0,0.37,0,0.74,0.74,0,0,0,0,3.33,0.74,0.37,0,0,0.37,0.74,0,0,0,0.37,0.37,0,0,8.88
3Month,0.1,0.31,0.21,6.35,0,0.21,0.83,1.56,5.2,0.94,2.7,8.74,0.21,1.87,3.02,2.29,0.42,0,0.52,0.31,0.21,0.1,0.73,0.21,0,0.52,0.73,16.43,0.21,0,0,0,0.94,3.33,48.89
22Month,0,0.55,0,1.64,0,0.14,0.27,2.19,11.21,0.68,1.78,6.42,0,0.68,3.83,1.91,0,0.14,1.09,0,0.27,0,0.27,0.41,0.27,0,0.14,3.01,0.14,0.14,0,0,0,0,18.04
