stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.41,0.56,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0.37,0,0.74,0,0,0.74,0,0.37,0.37,0.37,0,0,0,0
3Month,0,0.62,0,0.21,0.62,1.56,0.1,0.1,0.62,0,0.31,0.1,0.31,0,0,0.1,0.42,0.1,0,0.1,0.31,13,0,0,0.1,0.1,9.57,0.42
22Month,0.14,0.27,0,0.27,0.41,5.06,0.14,0,0.55,0.14,0,0.27,0.27,0.14,0.14,0,0,0,0.27,0,0.14,0.68,0,0,0,0,0,0
