stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,1,0,0,0,2,1,0,0
72hpf,0.28,0,0.28,0,0.28,0.56,0.28,0.28,0.28
21Day,0,1.11,0,0,0,0,0.37,0.74,0
3Month,0,0.21,0,0.1,0,0,0,0,0.42
22Month,0,0,0,0,0,0,0,0,0.41
