stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0.28,0,0,0,0,0,0,0,0.28,11.84,0,0.28,0,0,22.55,2.25,0,0.85,0,0.56,0,0.28,0
21Day,0.74,0,2.22,0,0,0.74,0.37,0,0,0,0,0.74,0.37,19.98,0.37,1.11,0.37,0,7.03,1.11,0.74,0.37,0.37,0,0.37,0,0
3Month,0,0.21,0.62,0,0,0,0.21,0.1,0,1.46,0.1,0.52,0,3.54,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1
22Month,0,0,0.14,0,0,0,0.14,0.14,0.14,1.78,0,0.27,0.14,0.55,0,0.14,0,0,0,0,0,0,0,0,0,0,0.14
