stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,2,0,0,0,0,0,0,0,2,0,1,13,0,0
72hpf,0.28,0,0,0,0,0,0,0,0.28,0,0,3.1,1.41,0,0
21Day,0,1.85,0.37,0.37,0,0.37,0.37,0,0.37,0.37,0,0,1.11,0.37,0
3Month,0,0.1,0,0.42,0.21,0,0.1,0,0.1,0.1,0.1,0,0,0,0.21
22Month,0,0.14,0,0.14,0,0,0.27,0.14,0,0,0,0,0,0,0
