stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0.28,0,0,10.15,0,0,0,0,0,0,0,0,24.8,0,0,0,0,0,0.56,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0.74,0,0,26.27,0,0,0,0,0.74,0,0,0,14.43,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0.37,4.44,0,0,0,0.37
3Month,0.52,1.25,0.1,4.16,0.21,0,1.77,1.25,375.81,0,0,5.3,2.81,0.1,2.18,1.25,0.94,27.46,2.29,0.21,0.1,0.42,1.14,0,0.73,0.52,0,0.1,2.7,1.25,0,0,0,0.1,0.94,1.98,1.77
22Month,0,0.96,0.14,1.37,0,0,3.28,0.55,495.63,0.41,0,9.98,2.46,0.14,0.96,0.14,0.41,63.41,0.68,0,0.41,0.14,0,0.41,0.27,0.27,0.41,0,0.96,0.27,0.41,0.55,0,0,0.14,0,0.82
