stage,Cardiomyocyte,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,2,0,0,0,0,0,1,0,0,0,1,0,0
72hpf,0.85,0.28,0.28,0,0,0,0,2.82,0,5.36,0,1.13,0
21Day,0.74,0,0,0,0,0,0,1.48,0,2.22,0,0,0
3Month,0,0,0,0.1,0,0.21,0,0.1,0.31,0,0,0,0.1
22Month,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0
