stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,1,0,0
72hpf,0,0.56,0.28,1.13,0.85
21Day,1.48,0.74,0,1.11,0
