stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0.28,0,0,0,3.38,0,0,0.56,0,0.28,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0.74,0,0
3Month,0.21,0.31,0,0.1,0.1,0,0,0.1,0.1,0.1,0,0,0.1,0,7.49,0,0.21
22Month,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0
